Geneid	Length	180300_sort.bam	180301_sort.bam	180302_sort.bam	180306_sort.bam	180307_sort.bam	180308_sort.bam	180309_sort.bam	180310_sort.bam	180311_sort.bam	180315_sort.bam	180316_sort.bam	180317_sort.bam
TrA0049W	2253	91	35	71	70	87	64	248	178	173	214	151	199
TrA0050C	1710	268	108	205	166	143	111	681	491	451	352	360	342
TrA0051C	1323	0	2	1	1	2	0	1	0	0	0	0	0
TrA0052W	3666	2	2	0	1	6	1	4	0	0	0	0	0
TrA0053C	336	13	79	0	3	1	5	0	0	0	0	5	0
TrA0054C	711	0	0	0	0	0	0	0	2	0	0	0	0
TrA0055W	1962	0	0	0	0	0	1	0	0	0	0	0	0
TrA0056C	444	23	29	16	18	37	36	14	22	13	23	26	37
TrA0057C	2523	375	683	269	324	331	410	259	313	226	373	288	342
TrA0058W	1752	13	43	25	23	17	27	2	17	4	13	7	19
TrA0059W	2292	109	151	142	141	105	130	325	276	272	326	294	302
TrA0060C	1764	403	1628	34	458	162	466	24	101	15	525	813	85
TrA0061C	822	0	0	0	0	0	0	0	0	2	0	2	0
TrA0062W	1692	16	8	18	9	20	24	55	28	38	33	41	57
TrA0063C	987	1920	4524	930	1909	1879	2796	1664	1445	1268	2305	2148	1655
TrA0064W	680	15	20	13	10	6	4	1	2	4	1	4	1
TrA0065W	195	3	2	12	2	4	2	0	2	0	1	1	1
TrA0066W	2268	3967	10709	1748	4113	3050	5045	2753	3098	2736	5172	4580	3072
TrA0067W	2064	811	428	884	756	765	792	1517	1625	1324	1561	1558	1683
TrA0068W	1833	0	0	0	1	1	0	0	1	0	0	0	1
TrA0069C	2596	324	334	366	202	480	467	685	634	488	626	622	647
TrA0070W	732	4	14	7	5	15	2	3	1	0	0	2	0
TrA0071W	207	37	14	30	6	17	21	1	3	0	0	0	0
TrA0072C	1740	4933	2233	5729	3229	3988	3562	696	513	454	274	250	416
TrA0073C	2982	373	181	396	292	270	216	338	420	253	292	251	218
TrA0074C	1221	10	27	4	17	11	3	172	229	190	46	74	33
TrA0075W	210	0	0	0	0	0	0	0	0	1	0	0	1
TrA0076W	1266	111	124	76	92	125	143	1414	910	1324	344	428	365
TrA0077W	591	85	102	66	45	66	94	876	510	848	211	292	232
TrA0078W	558	179	108	171	134	144	156	371	254	323	261	252	397
TrA0079C	825	82	45	88	64	95	74	148	139	136	140	162	167
TrA0080W	498	69	38	58	55	69	88	95	96	87	120	132	116
TrA0081C	1680	3755	2695	3532	2743	3549	3629	2897	3042	2487	2800	2765	3274
TrA0082C	222	0	0	0	0	1	0	1	0	0	0	0	0
TrA0083W	996	987	2110	814	698	1013	982	1324	906	888	915	861	1095
TrA0084W	1614	26	33	18	19	26	47	37	25	14	16	31	37
TrA0085W	621	12	6	13	5	14	14	13	8	4	10	2	12
TrA0086W	798	15	18	10	7	9	22	4	16	10	7	8	7
TrA0087C	327	194	146	142	135	193	165	190	135	102	165	147	188
TrA0088C	249	23	31	39	23	23	26	32	26	21	20	23	30
TrA0089C	165	0	4	1	2	15	1	3	15	2	5	16	11
TrA0090W	699	2523	7884	2151	2202	2986	4084	1700	3045	1568	4926	5815	2614
TrA0091C	1353	828	594	724	631	724	911	1235	889	868	979	995	1361
TrA0092W	960	583	525	392	521	613	797	990	691	775	901	895	1156
TrA0093C	651	855	740	783	816	835	817	878	763	737	848	882	1000
TrA0094C	1371	16	29	27	43	34	48	16	11	5	6	10	10
TrA0095W	251	1	3	0	1	3	2	1	2	0	0	2	0
TrA0096C	1929	186	112	130	80	200	145	11	15	17	27	23	19
TrA0097W	3333	591	419	511	327	688	554	14	26	16	37	24	32
TrA0098C	2760	39	10	64	25	75	86	45	34	40	36	53	64
TrA0099W	483	0	0	0	0	1	1	0	0	1	0	0	1
TrA0100W	1749	174	74	207	65	203	167	35	57	40	62	37	50
TrA0101C	1182	4	59	1	8	4	0	0	0	0	0	0	0
TrA0102C	1017	151	319	147	119	96	104	1	4	0	5	1	6
TrA0103C	1587	371	417	344	277	401	363	325	330	298	316	288	429
TrA0104W	414	1164	913	1076	995	1062	1235	1432	1079	1021	1119	1132	1195
TrA0105C	3327	12032	6064	14479	6651	15477	13106	19882	16683	14439	14182	14551	17301
TrA0106C	513	26	27	53	10	54	65	136	103	99	114	128	95
TrA0107W	1041	226	503	212	225	250	283	362	193	222	217	216	284
TrA0108C	516	1405	2092	1159	1436	1389	1327	1649	1481	1475	1711	1528	1901
TrA0109W	244	0	2	1	0	0	5	0	0	0	1	1	1
TrA0110C	825	329	246	310	246	370	377	393	372	334	443	400	492
TrA0111C	1155	7571	3421	7181	4720	5949	6664	7570	5620	4772	5373	5289	6051
TrA0112W	639	54	42	67	53	68	72	187	172	113	118	156	234
TrA0113W	1692	2	1	8	0	4	4	5	1	0	0	1	0
TrA0114C	1724	504	205	662	276	604	533	84	66	69	40	25	56
TrA0115W	2943	1189	485	1340	628	1350	1183	207	241	164	98	69	116
TrA0116W	495	430	412	458	326	346	321	194	158	116	102	92	133
TrA0117W	1098	0	0	1	0	0	0	0	0	0	0	0	0
TrA0118C	858	1648	1288	1386	997	1654	1806	1558	1241	1136	1175	1179	1318
TrA0119C	792	388	304	447	446	332	306	53	54	55	79	88	104
TrA0120C	858	957	1244	272	1199	691	1080	2309	1492	1667	1858	1984	2332
TrA0121C	1242	35	28	23	14	40	60	57	67	53	128	106	89
TrA0122W	366	0	0	0	0	0	0	0	0	0	0	0	1
TrA0123C	3021	5420	2437	6019	2597	5311	5445	3975	4466	3295	4409	4586	4380
TrA0124C	1563	1019	1421	925	841	982	1022	1817	1277	1313	1450	1317	1859
TrA0125C	1722	390	178	417	251	433	432	530	495	390	566	544	593
TrA0126C	822	26	29	54	31	29	21	52	57	43	45	46	64
TrA0127W	420	95	662	12	136	193	246	60	142	43	428	667	117
TrA0128C	1617	582	448	516	360	515	559	481	371	348	402	313	348
TrA0129C	1677	676	413	654	526	602	542	1780	888	1163	951	951	1451
TrA0130C	1053	81	65	101	80	113	120	185	118	110	145	130	206
TrA0131C	1296	379	333	502	375	512	503	636	619	414	396	448	577
TrA0132W	1518	1549	1271	1326	1393	1269	1487	1768	1239	1440	1321	1324	1645
TrA0133C	390	11	7	15	3	30	21	14	8	7	2	6	13
TrA0134W	1422	21	35	13	15	25	35	1	14	2	7	5	6
TrA0135W	255	6	0	11	1	10	1	0	1	0	0	0	1
TrA0136W	3690	366	283	325	179	394	347	172	183	117	151	162	138
TrA0137C	1149	2174	1303	1808	1549	1326	1337	299	315	245	302	236	210
TrA0138C	504	68	49	69	50	55	55	52	52	50	78	43	65
TrA0139W	11646	13057	8358	12898	11058	14833	14301	19596	14926	13507	14387	14322	18219
TrA0140W	2127	0	0	1	0	4	1	8	8	6	14	1	9
TrA0141C	549	105	198	82	79	112	126	49	104	54	101	89	75
TrA0142W	1629	107	86	128	82	165	186	106	127	100	121	173	142
TrA0143C	444	92	42	104	44	84	63	76	61	42	79	46	79
TrA0144W	3636	666	497	619	478	480	516	1732	680	1029	705	761	1138
TrA0145C	999	210	180	200	155	201	281	236	255	178	218	257	230
TrA0146W	786	150	110	145	109	140	95	133	143	136	112	105	167
TrA0147C	1524	134	71	140	83	112	143	137	130	141	204	139	201
TrA0148W	5466	2651	2228	2712	2172	2688	2675	3673	2619	2350	2276	2314	3275
TrA0149C	1383	900	717	795	693	831	809	901	650	740	793	743	858
TrA0150W	351	0	0	0	2	1	0	0	0	0	0	0	0
TrA0151W	1344	496	480	560	554	525	581	703	616	581	689	608	792
TrA0152C	684	497	279	459	415	488	593	705	497	591	596	620	729
TrA0153W	1851	478	288	492	390	537	552	573	441	422	434	441	573
TrA0154W	1782	894	678	985	802	1131	1008	748	667	579	599	743	833
TrA0155W	1071	2	0	2	0	0	2	2	3	1	7	2	9
TrA0156C	1272	26	56	21	30	28	33	43	26	23	112	65	58
TrA0157W	3300	2048	8070	130	2343	1222	2667	274	233	159	223	224	273
TrA0158W	1005	17	17	16	5	17	17	10	9	8	10	5	17
TrA0159C	636	11	13	23	6	38	39	0	0	0	0	2	0
TrA0160C	840	62	78	54	49	138	206	71	66	54	82	63	84
TrA0161W	1731	150	441	98	172	195	257	61	73	52	106	106	92
TrA0162C	1983	530	370	689	447	601	720	1141	666	704	616	694	980
TrA0163C	1200	98	100	127	97	168	167	218	255	226	240	262	253
TrA0164W	2235	2396	3083	1824	2265	2559	2657	3788	2951	2648	3463	3376	4117
TrA0165W	1350	460	336	462	339	488	475	396	473	312	378	351	334
TrA0166C	1704	330	239	243	298	363	388	527	421	408	532	576	480
TrA0167C	1629	1336	1399	1572	1096	1535	1667	2913	2677	2313	2592	2742	2976
TrA0168W	1587	639	654	639	543	669	833	539	537	463	551	498	650
TrA0169C	7248	1214	3192	839	1302	1096	1494	1731	1595	1380	1584	1696	1195
TrA0170W	1422	29	101	16	55	26	51	80	77	69	77	55	57
TrA0171W	1776	189	109	170	103	129	138	150	151	99	184	161	130
TrA0172W	306	3835	1605	2835	3436	1212	1120	299	929	504	4027	2947	629
TrA0173C	945	1	0	0	0	0	0	14	12	14	5	2	7
TrA0174W	1539	25	24	25	25	34	24	19797	8524	9457	3747	4139	7022
TrA0175W	795	56	215	32	62	125	162	14	20	17	61	51	29
TrA0176C	786	374	481	385	376	456	476	507	431	346	432	450	597
TrA0177W	1077	578	488	476	424	594	634	407	412	358	520	439	540
TrA0178C	1239	1854	1715	1693	1472	1839	1989	1350	1183	992	1160	1204	1605
TrA0179W	378	425	295	333	351	389	369	388	409	392	466	481	415
TrA0180W	1542	725	464	571	648	624	710	1404	831	1035	950	988	1304
TrA0181C	1404	1487	3029	943	1506	1452	1454	225	345	185	445	324	386
TrA0182C	1209	916	1008	796	736	974	1038	1479	996	1130	1136	974	1339
TrA0183W	1506	805	1211	609	678	787	801	1173	791	749	771	674	899
TrA0184W	918	137	113	134	99	119	141	114	130	85	147	169	190
TrA0185W	5226	5135	6401	4666	4738	5624	5985	9959	6313	6037	6888	6986	7700
TrA0186W	963	318	509	310	243	301	394	424	375	309	387	404	405
TrA0187W	735	108	106	108	86	105	86	270	212	221	159	184	241
TrA0188C	3816	2783	954	2831	1935	2033	2044	1575	1176	1104	874	949	1218
TrA0189C	2229	570	837	704	528	1073	973	1127	952	769	810	926	1067
TrA0190W	2592	2	13	1	1	2	2	1	0	0	0	2	0
TrA0191W	882	3	4	0	5	3	5	5	1	0	0	2	3
TrA0192W	888	42	12	35	35	56	46	78	88	81	105	76	106
TrA0193C	2133	542	348	627	603	1071	1029	163	157	112	144	146	205
TrA0194C	525	1	0	3	5	7	3	1	3	0	1	0	3
TrA0195C	1590	1166	552	1499	913	1912	1582	907	689	543	487	458	661
TrA0196C	5295	5928	5153	5229	3696	5799	6331	6905	6434	5411	6156	6292	7305
TrA0197W	657	4	8	1	1	5	2	2	0	1	10	0	3
TrA0198C	837	1	3	7	0	1	6	4	0	3	1	1	7
TrA0199C	1125	2	7	3	0	9	6	3	4	3	2	2	2
TrA0200C	1866	1032	1761	871	743	1042	1082	1528	1269	1205	1333	1351	1476
TrA0201W	885	103	149	114	105	140	108	137	130	77	141	132	170
TrA0202C	900	328	259	334	289	312	337	690	489	492	456	488	608
TrA0203W	1902	6656	3943	6171	5288	6184	5976	6908	5829	5051	6253	5877	7256
TrA0204W	4050	924	371	1173	671	1086	901	241	278	210	243	239	269
TrA0205C	933	61	29	72	81	59	61	107	68	84	87	93	77
TrA0206W	1281	0	0	0	0	0	0	0	0	0	0	0	0
TrA0207C	1494	210	1143	18	283	148	263	1	11	0	46	35	11
TrA0208C	1434	1	1	1	0	0	1	2	0	0	0	0	0
TrA0209W	2037	0	1	0	1	0	0	0	0	0	0	0	0
TrA0210C	1047	1985	1029	2016	1357	1662	1235	18	30	7	28	18	13
TrA0211C	714	0	0	0	0	0	0	0	0	1	0	0	0
TrA0212W	942	0	0	0	0	0	0	0	0	0	0	0	0
TrA0213C	411	0	4	0	0	0	0	0	0	0	0	0	0
TrA0214C	738	27	12	22	12	34	26	1	5	3	8	6	9
TrA0215C	1899	0	0	0	1	6	13	0	0	3	0	1	0
TrA0216W	1056	3	8	4	1	19	14	0	0	0	0	0	0
TrA0217C	537	58	42	40	28	66	62	42	35	35	31	21	38
TrA0218C	792	3	5	1	0	1	0	0	1	0	1	1	0
TrA0219C	921	0	0	0	0	0	0	0	0	0	0	0	0
TrA0220W	1005	1	1	0	0	0	0	0	0	0	0	0	0
TrA0221C	906	48	43	67	43	69	65	105	136	112	79	84	107
TrA0222W	2984	76	110	55	59	79	102	34	46	27	84	110	70
TrA0223W	312	0	0	0	0	0	0	0	0	0	0	0	0
TrA0224W	447	9964	35473	102	10214	6708	19356	611	3645	871	18652	16159	3407
TrA0225W	1332	11	6	7	4	5	1	0	1	0	5	3	2
TrA0226W	1026	0	1	1	0	6	10	0	0	0	0	0	0
TrA0227C	747	33	38	59	23	35	60	15	9	6	14	17	19
TrA0228W	1029	1875	566	2283	964	1505	1304	9	55	30	38	26	4
TrA0229C	1206	23	16	28	17	24	21	25	30	14	30	30	25
TrA0230W	930	0	5	1	0	3	5	1	4	1	2	2	3
TrA0231W	594	1541	1080	1632	1063	1761	1761	2001	1719	1707	1850	1692	1933
TrA0232C	1407	599	391	550	466	666	589	776	620	548	636	574	807
TrA0233C	1106	93	86	91	89	132	141	167	218	100	143	145	136
TrA0234C	2478	3725	9351	2820	3430	3846	4642	6101	4051	4099	5656	5944	6930
TrA0235C	297	1	0	0	0	0	0	0	1	0	1	0	1
TrA0236W	1341	1572	1046	1382	1403	1532	1661	2270	1611	1523	1918	1947	2357
TrA0237C	942	102	65	88	77	131	99	107	88	76	100	65	92
TrA0238C	2892	670	459	781	406	785	719	1435	1362	956	1196	1321	1568
TrA0239W	618	36	30	55	19	52	30	22	42	34	45	42	41
TrA0240W	2007	12218	6754	14398	6147	9753	10386	2772	2569	2111	2306	2094	2379
TrA0241C	198	15	21	5	6	5	11	23	34	18	40	33	18
TrA0242W	822	2789	2829	2479	1774	2257	3121	1502	2531	1437	3718	3104	2129
TrA0243C	378	314	213	224	262	286	268	364	267	310	325	333	450
TrA0244W	825	350	446	370	266	430	329	732	488	494	477	454	681
TrA0245W	5196	1255	962	1357	867	1274	1348	1388	1154	945	1016	1137	1315
TrA0246W	1092	256	226	387	202	262	290	234	226	168	207	180	212
TrA0247C	594	269	325	278	333	293	276	506	386	350	314	372	517
TrA0248W	1599	237	178	278	217	199	261	216	220	173	206	201	224
TrA0249W	1671	6	0	11	0	8	11	0	0	0	0	1	0
TrA0250W	198	1	0	1	0	0	0	0	0	0	1	0	0
TrA0251C	1596	183	228	197	123	241	215	13	45	26	68	57	41
TrA0252W	2190	783	1095	902	697	948	827	1026	869	710	765	811	912
TrA0253W	243	96	161	96	93	118	106	140	108	76	99	86	124
TrA0254W	333	305	238	297	170	230	192	158	143	132	175	126	178
TrA0255W	1383	107	330	57	100	173	187	7051	2010	2337	2240	1401	1140
TrA0256C	1422	1	2	2	0	1	1	6	2	3	0	5	8
TrA0257W	1065	17	7	16	7	15	6	0	2	1	0	0	1
TrA0258W	747	0	1	0	0	0	0	0	0	0	0	0	0
TrA0259W	462	0	0	0	1	0	0	0	0	0	0	0	0
TrA0260C	2178	1715	7574	851	1895	2176	3405	941	815	737	954	1008	1082
TrA0261W	1185	147	152	215	113	237	254	236	143	161	144	160	185
TrA0262C	4317	1036	485	1311	554	1064	885	1293	1068	764	770	639	868
TrA0263C	450	1095	3038	765	1195	1529	1286	1663	1200	1061	1291	1127	1816
TrA0264C	1872	7883	19642	4668	7519	8457	10061	11572	7053	7723	8204	9102	11228
TrA0265C	990	112	209	81	88	158	121	111	119	66	126	69	147
TrA0266C	1284	2129	1560	2555	1275	2115	2172	790	584	558	579	559	766
TrA0267W	1329	1005	298	1059	448	960	1018	157	147	129	145	135	148
TrA0268C	4953	5170	4263	4576	4458	5485	5203	4879	4655	3897	5325	5542	6194
TrA0269C	1263	379	767	304	346	368	481	203	358	204	621	552	378
TrA0270C	1533	7125	5141	5649	5969	5785	5750	7131	5823	5555	7580	7373	8656
TrA0271W	1368	263	216	308	353	321	339	336	280	233	266	267	380
TrA0272C	177	289	395	299	287	447	654	2721	2180	2032	2415	2576	3664
TrA0273W	168	2	3	7	8	7	8	18	9	13	13	11	20
TrA0274C	4026	4845	3322	5354	3753	5482	4987	5109	5311	3704	4542	4423	5500
TrA0275W	282	35	24	100	61	81	46	99	63	58	57	73	63
TrA0276C	642	563	349	602	421	617	888	628	625	499	674	679	664
TrA0277C	1716	34	57	39	16	60	57	1	0	0	5	8	9
TrA0278W	327	10	7	5	4	6	4	3	3	2	1	7	0
TrA0279W	359	7	0	5	4	3	1	0	1	1	1	1	2
TrA0280C	1050	291	319	252	346	253	270	350	235	239	220	281	349
TrA0281C	3645	2236	3001	2047	1908	2256	2336	2114	1826	1550	1653	1810	2050
TrA0282W	339	707	889	578	588	706	826	398	484	437	719	619	691
TrA0283W	1479	627	601	698	565	700	634	873	830	585	824	900	840
TrA0284C	1896	2786	1764	2440	2192	2622	2715	2179	2175	1708	2251	2109	2697
TrA0285W	3030	183	144	204	220	217	221	280	285	205	276	250	335
TrA0286W	1647	719	857	643	520	677	743	1034	583	634	585	642	637
TrA0287C	3300	1656	1181	1685	1291	2010	1990	2179	2371	2168	2587	2605	2691
TrA0288W	162	0	2	1	1	3	4	1	3	4	2	1	2
TrA0289C	291	0	1	0	2	2	1	1	3	8	0	2	4
TrA0290W	357	34	50	43	34	50	32	50	73	40	80	81	90
TrA0291C	2571	865	725	920	672	1035	970	1047	1079	735	993	939	1303
TrA0292W	3330	4482	2702	4452	3492	5606	5086	55708	42456	39867	37313	42535	63536
TrA0293C	2559	4099	2459	3571	3228	3768	3470	2974	2656	2343	2985	2985	3416
TrA0294W	3018	1940	3250	1413	1694	1981	2222	2423	1873	1859	1922	1840	2222
TrA0295W	1347	4712	3085	4161	3533	4197	3957	4554	3720	3537	4191	3761	4675
TrA0296C	2940	1558	3761	1326	1482	2020	1937	2169	1531	1307	1334	1425	1852
TrA0297W	1875	407	617	396	383	536	524	874	488	448	440	400	664
TrA0298C	1029	118	32	47	21	10	7	0	0	0	0	0	0
TrA0299W	2442	1338	481	1052	1013	803	750	3566	2416	2183	1738	2156	3084
TrA0300C	387	450	348	423	374	462	490	534	376	503	535	533	607
TrA0301C	720	18	5	20	17	18	23	25	24	26	25	24	30
TrA0302C	1986	1548	2737	1078	1457	1512	1716	1946	2011	1581	2363	2226	2429
TrA0303W	531	324	154	245	157	273	273	489	372	386	453	455	545
TrA0304W	1584	1144	805	1023	882	1028	1208	29565	21539	21055	19767	25704	35464
TrA0305C	1482	444	415	401	387	379	400	1273	721	755	661	780	940
TrA0306W	642	634	785	750	408	713	760	1193	939	808	979	995	898
TrA0307C	228	3624	2832	3387	4134	3447	3277	5139	4066	3685	4827	4228	5887
TrA0308W	267	104	32	101	47	98	120	62	74	49	73	57	79
TrA0309C	3168	1406	916	1365	1128	1396	1356	1191	1288	1002	1261	1236	1641
TrA0310C	1389	1194	1116	1191	1141	1290	1288	1633	1331	1264	1114	1124	1355
TrA0311W	234	0	0	0	0	0	0	0	0	0	0	0	1
TrA0312C	2334	2544	2408	2532	1744	2493	2486	2338	1873	1596	1605	1703	2082
TrA0313W	2814	619	384	664	529	603	631	1647	902	948	1016	902	1361
TrA0314W	1962	93	63	113	86	145	157	225	219	144	228	261	264
TrA0315W	2298	4800	3025	4431	3554	4855	4708	5294	4565	3896	4412	4496	5470
TrA0316W	852	54	39	58	48	41	41	48	33	31	42	30	41
TrA0317C	3136	3603	1971	3135	2330	3146	3358	4256	3415	3197	3409	3328	3304
TrA0318W	2793	379	245	416	317	430	466	544	475	321	428	467	526
TrA0319C	1038	161	113	163	133	213	200	209	237	202	234	233	288
TrA0320W	2187	2535	3343	2185	2148	2492	2669	2414	1932	1702	2058	1974	2553
TrA0321C	951	137	325	89	40	90	84	54	71	53	50	47	86
TrA0322C	4050	11265	12297	10490	9532	12067	12948	14506	12386	10423	11600	11998	14326
TrA0323W	1515	635	440	549	632	645	631	1340	1098	996	919	915	1197
TrA0324C	750	379	318	292	254	320	379	261	273	284	270	328	334
TrA0325W	1674	139	73	159	126	174	205	251	207	161	211	220	305
TrA0326W	1209	343	743	183	292	393	505	890	706	717	815	746	678
TrA0327C	789	0	1	3	1	5	5	0	0	0	0	0	0
TrA0328C	531	479	356	441	351	462	428	443	426	328	458	417	478
TrA0329W	918	290	236	276	267	256	303	247	298	222	300	313	300
TrA0330C	3489	1721	2028	914	1367	880	917	225	335	225	987	811	534
TrA0331W	83	0	0	0	0	0	0	0	0	1	0	0	0
TrA0332W	2721	2546	2268	2775	2178	2672	2932	3820	2728	2308	2384	2615	3180
TrA0333C	501	568	357	468	373	484	473	708	467	598	539	569	540
TrA0334C	2826	9	6	2	4	6	1	4	9	4	3	8	5
TrA0335C	2400	2888	2301	2617	2221	2729	2529	2828	2327	1899	2342	2222	2980
TrA0336W	1536	183	147	189	129	147	151	338	221	295	266	253	376
TrA0337W	348	254	144	272	227	356	289	310	256	278	272	300	362
TrA0338C	1911	521	567	610	495	654	594	714	737	470	713	734	809
TrA0339W	888	687	198	545	217	226	200	896	924	737	787	988	1408
TrA0340W	1023	380	319	483	349	430	458	591	576	457	509	536	617
TrA0341C	1194	372	2082	3	560	343	582	57	59	20	168	163	56
TrA0342C	627	2	14	0	5	7	9	0	3	0	0	5	1
TrA0343W	591	92	165	106	72	130	106	72	76	67	93	96	111
TrA0344C	465	14847	12056	12293	10442	15107	14947	15254	13867	12406	14210	12803	15386
TrA0345W	2865	5713	4307	4496	5058	5127	4900	5221	5488	4400	5485	5636	6611
TrA0346C	318	24123	14613	40478	14984	35094	28398	217	736	244	478	272	521
TrA0347C	181	0	0	0	0	1	0	0	0	0	0	0	0
TrA0348C	1701	151	117	144	112	193	182	286	267	264	202	228	205
TrA0349W	1293	0	13	2	2	0	0	0	0	0	0	0	0
TrA0350C	1644	68	30	92	48	61	55	76	69	42	31	49	45
TrA0351W	2484	619	2721	441	759	713	808	861	653	600	585	608	693
TrA0352W	2655	1418	850	1639	1110	1291	1407	1350	1067	827	954	922	1061
TrA0353W	2949	529	944	470	626	783	806	1357	804	796	757	779	1001
TrA0354C	456	106	190	176	127	150	167	59	70	53	82	62	100
TrA0355W	1287	257	1768	20	374	378	606	8	16	7	14	11	7
TrA0356W	2418	2301	3590	2485	1900	2692	3048	2092	1706	1270	1536	1509	1769
TrA0357C	804	333	430	261	317	299	372	332	260	263	313	254	310
TrA0358C	948	357	320	395	220	227	241	312	298	454	289	261	387
TrA0359W	390	367	306	379	237	331	259	412	338	309	337	270	317
TrA0360C	2583	512	1250	474	512	457	542	1356	626	838	517	616	786
TrA0361C	5301	3844	11365	2887	4123	3534	4144	2607	2483	1940	2532	2683	2910
TrA0362C	1596	3629	2073	4159	2215	4115	3503	1622	1423	1208	1133	1016	1382
TrA0363C	1998	498	347	572	545	624	535	487	491	351	479	483	470
TrA0364W	855	44	31	76	44	43	54	50	41	42	55	39	70
TrA0365C	2242	2810	2411	2038	2561	2200	2624	2110	1891	1679	2300	2167	2732
TrA0366W	825	1393	930	1312	1075	1378	1338	795	855	670	893	826	963
TrA0367C	729	1277	2078	990	982	1096	1329	1806	1064	1200	1158	915	1197
TrA0368W	1992	1638	1391	1483	1506	1843	1780	2421	2178	1807	2235	2229	2707
TrA0369C	228	1	1	0	0	2	0	2	1	1	0	0	0
TrA0370W	1029	594	583	631	400	626	641	753	587	491	518	573	708
TrA0371C	660	480	360	429	306	396	365	392	369	364	371	369	430
TrA0372C	1020	189	128	159	165	170	188	247	199	191	197	192	265
TrA0373W	1737	120	76	106	75	101	92	231	188	168	139	160	232
TrA0374C	159	2	5	2	0	0	3	5	2	2	2	3	0
TrA0375W	1395	92	85	96	46	103	103	18	41	31	42	21	27
TrA0376C	1725	139	39	133	33	108	92	149	132	116	90	64	90
TrA0377W	2745	227	164	162	94	166	170	72	85	67	94	84	70
TrA0378C	513	30	44	49	48	41	47	14	11	9	22	10	25
TrA0379C	2448	1599	1147	1487	1372	1587	1493	1984	1596	1292	1559	1641	2071
TrA0380W	804	131	93	126	93	112	147	150	118	98	123	139	175
