"GO.ID";"Term";"Annotated";"Significant";"Expected";"classicFisher";"weighted"
"GO:0000293";"ferric-chelate reductase activity";10;7;2,55;"0.00396";"0.00396"
"GO:0004560";"alpha-L-fucosidase activity";4;4;1,02;"0.00424";"0.00424"
"GO:0005375";"copper ion transmembrane transporter act...";4;4;1,02;"0.00424";"0.00424"
"GO:0015928";"fucosidase activity";4;4;1,02;"0.00424";"1.00000"
"GO:0022804";"active transmembrane transporter activit...";177;61;45,2;"0.00437";"1.00000"
"GO:0008447";"L-ascorbate oxidase activity";8;6;2,04;"0.00471";"0.00471"
"GO:0016682";"oxidoreductase activity, acting on diphe...";8;6;2,04;"0.00471";"1.00000"
"GO:0052689";"carboxylic ester hydrolase activity";63;25;16,09;"0.00915";"1.00000"
"GO:0015075";"ion transmembrane transporter activity";164;55;41,88;"0.01216";"1.00000"
"GO:0140359";"ABC-type transporter activity";34;15;8,68;"0.01390";"1.00000"
"GO:0015297";"antiporter activity";7;5;1,79;"0.01409";"0.44466"
"GO:0005507";"copper ion binding";17;9;4,34;"0.01412";"0.01412"
"GO:0015078";"proton transmembrane transporter activit...";91;33;23,24;"0.01437";"1.00000"
"GO:0022853";"active ion transmembrane transporter act...";118;41;30,13;"0.01523";"1.00000"
"GO:0016722";"oxidoreductase activity, acting on metal...";12;7;3,06;"0.01593";"1.00000"
"GO:0008482";"sulfite oxidase activity";3;3;0,77;"0.01662";"0.01662"
"GO:0009044";"xylan 1,4-beta-xylosidase activity";3;3;0,77;"0.01662";"0.01662"
"GO:0031176";"endo-1,4-beta-xylanase activity";3;3;0,77;"0.01662";"0.01662"
"GO:0033897";"ribonuclease T2 activity";3;3;0,77;"0.01662";"0.01662"
"GO:0050525";"cutinase activity";3;3;0,77;"0.01662";"0.01662"
"GO:0005451";"monovalent cation:proton antiporter acti...";5;4;1,28;"0.01686";"1.00000"
"GO:0015298";"solute:cation antiporter activity";5;4;1,28;"0.01686";"1.00000"
"GO:0015299";"solute:proton antiporter activity";5;4;1,28;"0.01686";"0.01686"
"GO:0015927";"trehalase activity";5;4;1,28;"0.01686";"1.00000"
"GO:0016716";"oxidoreductase activity, acting on paire...";5;4;1,28;"0.01686";"1.00000"
"GO:0004022";"alcohol dehydrogenase (NAD+) activity";10;6;2,55;"0.02177";"1.00000"
"GO:0008812";"choline dehydrogenase activity";10;6;2,55;"0.02177";"0.02177"
"GO:0018455";"alcohol dehydrogenase [NAD(P)+] activity";10;6;2,55;"0.02177";"1.00000"
"GO:0016746";"acyltransferase activity";141;47;36,01;"0.02180";"0.58307"
"GO:0016810";"hydrolase activity, acting on carbon-nit...";111;38;28,35;"0.02420";"0.29435"
"GO:0018658";"salicylate 1-monooxygenase activity";19;9;4,85;"0.03248";"0.03248"
"GO:0003700";"DNA-binding transcription factor activit...";300;90;76,61;"0.04020";"0.04020"
"GO:0004043";"L-aminoadipate-semialdehyde dehydrogenas...";6;4;1,53;"0.04039";"0.04039"
"GO:0016849";"phosphorus-oxygen lyase activity";6;4;1,53;"0.04039";"1.00000"
"GO:0047750";"cholestenol delta-isomerase activity";6;4;1,53;"0.04039";"0.04039"
"GO:0016209";"antioxidant activity";29;12;7,41;"0.04483";"0.58558"
"GO:0016616";"oxidoreductase activity, acting on the C...";158;50;40,35;"0.04680";"0.99767"
"GO:0004023";"alcohol dehydrogenase activity, metal io...";9;5;2,3;"0.05305";"0.05305"
"GO:0004024";"alcohol dehydrogenase activity, zinc-dep...";9;5;2,3;"0.05305";"0.05305"
"GO:0004025";"alcohol dehydrogenase activity, iron-dep...";9;5;2,3;"0.05305";"0.05305"
"GO:0004096";"catalase activity";9;5;2,3;"0.05305";"0.05305"
"GO:0004348";"glucosylceramidase activity";4;3;1,02;"0.05377";"0.05377"
"GO:0004555";"alpha,alpha-trehalase activity";4;3;1,02;"0.05377";"0.05377"
"GO:0004815";"aspartate-tRNA ligase activity";4;3;1,02;"0.05377";"0.05377"
"GO:0008554";"P-type sodium transporter activity";4;3;1,02;"0.05377";"0.05377"
"GO:0016899";"oxidoreductase activity, acting on the C...";4;3;1,02;"0.05377";"1.00000"
"GO:0051118";"glucan endo-1,3-alpha-glucosidase activi...";4;3;1,02;"0.05377";"0.05377"
"GO:0016747";"acyltransferase activity, transferring g...";128;41;32,69;"0.05646";"0.68952"
"GO:0016811";"hydrolase activity, acting on carbon-nit...";46;17;11,75;"0.05693";"0.96021"
"GO:0016887";"ATP hydrolysis activity";56;20;14,3;"0.05792";"0.05792"
"GO:0140110";"transcription regulator activity";305;90;77,89;"0.05859";"1.00000"
"GO:0016679";"oxidoreductase activity, acting on diphe...";12;6;3,06;"0.05949";"1.00000"
"GO:0016667";"oxidoreductase activity, acting on a sul...";24;10;6,13;"0.06165";"1.00000"
"GO:0008559";"ABC-type xenobiotic transporter activity";15;7;3,83;"0.06242";"0.06242"
"GO:0042910";"xenobiotic transmembrane transporter act...";15;7;3,83;"0.06242";"1.00000"
"GO:0031177";"phosphopantetheine binding";21;9;5,36;"0.06286";"0.06286"
"GO:0072341";"modified amino acid binding";21;9;5,36;"0.06286";"1.00000"
"GO:0003987";"acetate-CoA ligase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004034";"aldose 1-epimerase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004321";"fatty-acyl-CoA synthase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004341";"gluconolactonase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004470";"malic enzyme activity";2;2;0,51;"0.06517";"0.25520"
"GO:0004503";"tyrosinase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004558";"alpha-1,4-glucosidase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004561";"alpha-N-acetylglucosaminidase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004667";"prostaglandin-D synthase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0005385";"zinc ion transmembrane transporter activ...";2;2;0,51;"0.06517";"0.06517"
"GO:0008783";"agmatinase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0016404";"15-hydroxyprostaglandin dehydrogenase (N...";2;2;0,51;"0.06517";"0.06517"
"GO:0016538";"cyclin-dependent protein serine/threonin...";2;2;0,51;"0.06517";"0.06517"
"GO:0016972";"thiol oxidase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0047038";"D-arabinitol 2-dehydrogenase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0047061";"glucose-fructose oxidoreductase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0047639";"alcohol oxidase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0050150";"o-pyrocatechuate decarboxylase activity";2;2;0,51;"0.06517";"0.06517"
"GO:0004567";"beta-mannosidase activity";7;4;1,79;"0.07546";"0.10902"
"GO:0008496";"mannan endo-1,6-alpha-mannosidase activi...";7;4;1,79;"0.07546";"0.07546"
"GO:0015081";"sodium ion transmembrane transporter act...";7;4;1,79;"0.07546";"1.00000"
"GO:0016831";"carboxy-lyase activity";25;10;6,38;"0.08008";"1.00000"
"GO:0004601";"peroxidase activity";22;9;5,62;"0.08313";"0.76998"
"GO:0016684";"oxidoreductase activity, acting on perox...";22;9;5,62;"0.08313";"1.00000"
"GO:0016878";"acid-thiol ligase activity";22;9;5,62;"0.08313";"1.00000"
"GO:0004499";"N,N-dimethylaniline monooxygenase activi...";10;5;2,55;"0.08432";"0.08432"
"GO:0008688";"3-(3-hydroxyphenyl)propionate hydroxylas...";10;5;2,55;"0.08432";"0.08432"
"GO:0016863";"intramolecular oxidoreductase activity, ...";10;5;2,55;"0.08432";"1.00000"
"GO:0018471";"4-chlorobenzaldehyde oxidase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018630";"3,5-xylenol methylhydroxylase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018631";"phenylacetate hydroxylase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018632";"4-nitrophenol 4-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018633";"dimethyl sulfide monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018634";"alpha-pinene monooxygenase [NADH] activi...";10;5;2,55;"0.08432";"0.08432"
"GO:0018635";"(R)-limonene 1,2-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018636";"phenanthrene 9,10-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018637";"1-hydroxy-2-naphthoate hydroxylase activ...";10;5;2,55;"0.08432";"0.08432"
"GO:0018638";"toluene 4-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018639";"xylene monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018640";"dibenzothiophene monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018641";"6-hydroxy-3-methyl-2-oxo-1,2-dihydroquin...";10;5;2,55;"0.08432";"0.08432"
"GO:0018642";"chlorophenol 4-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018643";"carbon disulfide oxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018644";"toluene 2-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018646";"1-hydroxy-2-oxolimonene 1,2-monooxygenas...";10;5;2,55;"0.08432";"0.08432"
"GO:0018647";"phenanthrene 1,2-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018648";"methanesulfonate monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018649";"tetrahydrofuran hydroxylase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018650";"styrene monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018651";"toluene-4-sulfonate monooxygenase activi...";10;5;2,55;"0.08432";"0.08432"
"GO:0018652";"toluene-sulfonate methyl-monooxygenase a...";10;5;2,55;"0.08432";"0.08432"
"GO:0018653";"3-methyl-2-oxo-1,2-dihydroquinoline 6-mo...";10;5;2,55;"0.08432";"0.08432"
"GO:0018654";"2-hydroxy-phenylacetate hydroxylase acti...";10;5;2,55;"0.08432";"0.08432"
"GO:0018655";"2-oxo-delta3-4,5,5-trimethylcyclopenteny...";10;5;2,55;"0.08432";"0.08432"
"GO:0018656";"phenanthrene 3,4-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0018657";"toluene 3-monooxygenase activity";10;5;2,55;"0.08432";"0.08432"
"GO:0019113";"limonene monooxygenase activity";10;5;2,55;"0.08432";"1.00000"
"GO:0043364";"glycyl-radical enzyme activating activit...";10;5;2,55;"0.08432";"1.00000"
"GO:0043365";"[formate-C-acetyltransferase]-activating...";10;5;2,55;"0.08432";"0.08432"
"GO:0043719";"2-octaprenyl-3-methyl-6-methoxy-1,4-benz...";10;5;2,55;"0.08432";"0.08432"
"GO:0043731";"6-hydroxynicotinate 3-monooxygenase acti...";10;5;2,55;"0.08432";"0.08432"
"GO:0046912";"acyltransferase activity, acyl groups co...";10;5;2,55;"0.08432";"1.00000"
"GO:0016405";"CoA-ligase activity";19;8;4,85;"0.08567";"1.00000"
"GO:0008171";"O-methyltransferase activity";29;11;7,41;"0.09628";"0.37715"
"GO:0004312";"fatty acid synthase activity";26;10;6,64;"0.10154";"0.16795"
"GO:0046873";"metal ion transmembrane transporter acti...";36;13;9,19;"0.10476";"0.99317"
"GO:0015923";"mannosidase activity";23;9;5,87;"0.10687";"1.00000"
"GO:0003950";"NAD+ ADP-ribosyltransferase activity";5;3;1,28;"0.10914";"0.10914"
"GO:0008484";"sulfuric ester hydrolase activity";5;3;1,28;"0.10914";"0.27048"
"GO:0016629";"12-oxophytodienoate reductase activity";5;3;1,28;"0.10914";"0.10914"
"GO:0016712";"oxidoreductase activity, acting on paire...";5;3;1,28;"0.10914";"1.00000"
"GO:0003960";"NADPH:quinone reductase activity";17;7;4,34;"0.11699";"0.11699"
"GO:0015462";"ABC-type protein transporter activity";17;7;4,34;"0.11699";"0.11699"
"GO:0017116";"single-stranded DNA helicase activity";17;7;4,34;"0.11699";"0.11699"
"GO:0016812";"hydrolase activity, acting on carbon-nit...";14;6;3,58;"0.12101";"1.00000"
"GO:0003995";"acyl-CoA dehydrogenase activity";8;4;2,04;"0.12118";"0.37793"
"GO:0004338";"glucan exo-1,3-beta-glucosidase activity";8;4;2,04;"0.12118";"0.12118"
"GO:0052890";"oxidoreductase activity, acting on the C...";8;4;2,04;"0.12118";"1.00000"
"GO:0000254";"C-4 methylsterol oxidase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0003871";"5-methyltetrahydropteroyltriglutamate-ho...";3;2;0,77;"0.16227";"0.16227"
"GO:0003922";"GMP synthase (glutamine-hydrolyzing) act...";3;2;0,77;"0.16227";"0.16227"
"GO:0004115";"3',5'-cyclic-AMP phosphodiesterase activ...";3;2;0,77;"0.16227";"0.25526"
"GO:0004801";"transaldolase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0005315";"inorganic phosphate transmembrane transp...";3;2;0,77;"0.16227";"0.16227"
"GO:0008443";"phosphofructokinase activity";3;2;0,77;"0.16227";"0.44532"
"GO:0008825";"cyclopropane-fatty-acyl-phospholipid syn...";3;2;0,77;"0.16227";"0.16227"
"GO:0010333";"terpene synthase activity";3;2;0,77;"0.16227";"1.00000"
"GO:0010334";"sesquiterpene synthase activity";3;2;0,77;"0.16227";"1.00000"
"GO:0016977";"chitosanase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0030196";"cyanide hydratase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0042085";"5-methyltetrahydropteroyltri-L-glutamate...";3;2;0,77;"0.16227";"1.00000"
"GO:0046556";"alpha-L-arabinofuranosidase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0047621";"acylpyruvate hydrolase activity";3;2;0,77;"0.16227";"0.16227"
"GO:0047911";"galacturan 1,4-alpha-galacturonidase act...";3;2;0,77;"0.16227";"0.16227"
"GO:0052736";"beta-glucanase activity";3;2;0,77;"0.16227";"1.00000"
"GO:0016877";"ligase activity, forming carbon-sulfur b...";25;9;6,38;"0.16433";"1.00000"
"GO:0008800";"beta-lactamase activity";9;4;2,3;"0.17569";"0.17569"
"GO:0016717";"oxidoreductase activity, acting on paire...";6;3;1,53;"0.17788";"0.44524"
"GO:0017136";"NAD-dependent histone deacetylase activi...";6;3;1,53;"0.17788";"0.17788"
"GO:0034979";"NAD-dependent protein deacetylase activi...";6;3;1,53;"0.17788";"1.00000"
"GO:0003678";"DNA helicase activity";19;7;4,85;"0.18938";"1.00000"
"GO:0004568";"chitinase activity";19;7;4,85;"0.18938";"0.25505"
"GO:0008080";"N-acetyltransferase activity";65;20;16,6;"0.20091";"0.25286"
"GO:0004344";"glucose dehydrogenase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0008374";"O-acyltransferase activity";16;6;4,09;"0.20373";"1.00000"
"GO:0018446";"pinocarveol dehydrogenase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0018447";"chloral hydrate dehydrogenase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0018448";"hydroxymethylmethylsilanediol oxidase ac...";16;6;4,09;"0.20373";"0.20373"
"GO:0018449";"1-phenylethanol dehydrogenase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0018450";"myrtenol dehydrogenase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0042469";"versicolorin reductase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0045703";"ketoreductase activity";16;6;4,09;"0.20373";"0.20373"
"GO:0010340";"carboxyl-O-methyltransferase activity";23;8;5,87;"0.21332";"1.00000"
"GO:0051998";"protein carboxyl O-methyltransferase act...";23;8;5,87;"0.21332";"1.00000"
"GO:0016407";"acetyltransferase activity";77;23;19,66;"0.22457";"1.00000"
"GO:0008236";"serine-type peptidase activity";27;9;6,89;"0.23336";"0.12114"
"GO:0017171";"serine hydrolase activity";27;9;6,89;"0.23336";"1.00000"
"GO:0016830";"carbon-carbon lyase activity";45;14;11,49;"0.24066";"0.69175"
"GO:0043167";"ion binding";1535;402;391,99;"0.24573";"1.00000"
"GO:0008168";"methyltransferase activity";93;27;23,75;"0.25097";"0.77616"
"GO:0019213";"deacetylase activity";17;6;4,34;"0.25104";"1.00000"
"GO:0016410";"N-acyltransferase activity";71;21;18,13;"0.25394";"1.00000"
"GO:0015929";"hexosaminidase activity";7;3;1,79;"0.25470";"1.00000"
"GO:0016744";"transketolase or transaldolase activity";7;3;1,79;"0.25470";"1.00000"
"GO:0016813";"hydrolase activity, acting on carbon-nit...";7;3;1,79;"0.25470";"1.00000"
"GO:0016838";"carbon-oxygen lyase activity, acting on ...";7;3;1,79;"0.25470";"1.00000"
"GO:0000298";"endopolyphosphatase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0000334";"3-hydroxyanthranilate 3,4-dioxygenase ac...";1;1;0,26;"0.25537";"0.25537"
"GO:0001727";"lipid kinase activity";1;1;0,26;"0.25537";"1.00000"
"GO:0001760";"aminocarboxymuconate-semialdehyde decarb...";1;1;0,26;"0.25537";"0.25537"
"GO:0003830";"beta-1,4-mannosylglycoprotein 4-beta-N-a...";1;1;0,26;"0.25537";"0.25537"
"GO:0003844";"1,4-alpha-glucan branching enzyme activi...";1;1;0,26;"0.25537";"0.25537"
"GO:0003853";"2-methylacyl-CoA dehydrogenase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003864";"3-methyl-2-oxobutanoate hydroxymethyltra...";1;1;0,26;"0.25537";"0.25537"
"GO:0003870";"5-aminolevulinate synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003873";"6-phosphofructo-2-kinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003883";"CTP synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003885";"D-arabinono-1,4-lactone oxidase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003972";"RNA ligase (ATP) activity";1;1;0,26;"0.25537";"0.25537"
"GO:0003975";"UDP-N-acetylglucosamine-dolichyl-phospha...";1;1;0,26;"0.25537";"0.25537"
"GO:0003983";"UTP:glucose-1-phosphate uridylyltransfer...";1;1;0,26;"0.25537";"0.25537"
"GO:0003990";"acetylcholinesterase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004026";"alcohol O-acetyltransferase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004058";"aromatic-L-amino-acid decarboxylase acti...";1;1;0,26;"0.25537";"0.25537"
"GO:0004061";"arylformamidase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004070";"aspartate carbamoyltransferase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004107";"chorismate synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004109";"coproporphyrinogen oxidase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004141";"dethiobiotin synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004150";"dihydroneopterin aldolase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004165";"delta(3)-delta(2)-enoyl-CoA isomerase ac...";1;1;0,26;"0.25537";"0.25537"
"GO:0004329";"formate-tetrahydrofolate ligase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004342";"glucosamine-6-phosphate deaminase activi...";1;1;0,26;"0.25537";"0.25537"
"GO:0004363";"glutathione synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004365";"glyceraldehyde-3-phosphate dehydrogenase...";1;1;0,26;"0.25537";"0.25537"
"GO:0004370";"glycerol kinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004392";"heme oxygenase (decyclizing) activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004410";"homocitrate synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004420";"hydroxymethylglutaryl-CoA reductase (NAD...";1;1;0,26;"0.25537";"0.25537"
"GO:0004421";"hydroxymethylglutaryl-CoA synthase activ...";1;1;0,26;"0.25537";"0.25537"
"GO:0004473";"malate dehydrogenase (decarboxylating) (...";1;1;0,26;"0.25537";"0.25537"
"GO:0004474";"malate synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004502";"kynurenine 3-monooxygenase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004566";"beta-glucuronidase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004595";"pantetheine-phosphate adenylyltransferas...";1;1;0,26;"0.25537";"0.25537"
"GO:0004608";"phosphatidylethanolamine N-methyltransfe...";1;1;0,26;"0.25537";"0.25537"
"GO:0004612";"phosphoenolpyruvate carboxykinase (ATP) ...";1;1;0,26;"0.25537";"0.25537"
"GO:0004623";"phospholipase A2 activity";1;1;0,26;"0.25537";"1.00000"
"GO:0004634";"phosphopyruvate hydratase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004638";"phosphoribosylaminoimidazole carboxylase...";1;1;0,26;"0.25537";"0.25537"
"GO:0004657";"proline dehydrogenase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004660";"protein farnesyltransferase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004671";"protein C-terminal S-isoprenylcysteine c...";1;1;0,26;"0.25537";"0.25537"
"GO:0004733";"pyridoxamine-phosphate oxidase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004740";"pyruvate dehydrogenase (acetyl-transferr...";1;1;0,26;"0.25537";"0.25537"
"GO:0004757";"sepiapterin reductase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004772";"sterol O-acyltransferase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004803";"transposase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0004856";"xylulokinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0005381";"iron ion transmembrane transporter activ...";1;1;0,26;"0.25537";"0.25537"
"GO:0005415";"nucleoside:sodium symporter activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008448";"N-acetylglucosamine-6-phosphate deacetyl...";1;1;0,26;"0.25537";"0.25537"
"GO:0008452";"RNA ligase activity";1;1;0,26;"0.25537";"1.00000"
"GO:0008465";"glycerate dehydrogenase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008466";"glycogenin glucosyltransferase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008481";"sphinganine kinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008607";"phosphorylase kinase regulator activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008660";"1-aminocyclopropane-1-carboxylate deamin...";1;1;0,26;"0.25537";"0.25537"
"GO:0008678";"2-deoxy-D-gluconate 3-dehydrogenase acti...";1;1;0,26;"0.25537";"0.25537"
"GO:0008703";"5-amino-6-(5-phosphoribosylamino)uracil ...";1;1;0,26;"0.25537";"0.25537"
"GO:0008710";"8-amino-7-oxononanoate synthase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008788";"alpha,alpha-phosphotrehalase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008819";"cobinamide kinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008838";"diaminopropionate ammonia-lyase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008887";"glycerate kinase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0008963";"phospho-N-acetylmuramoyl-pentapeptide-tr...";1;1;0,26;"0.25537";"0.25537"
"GO:0009014";"succinyl-diaminopimelate desuccinylase a...";1;1;0,26;"0.25537";"0.25537"
"GO:0009039";"urease activity";1;1;0,26;"0.25537";"0.25537"
"GO:0010301";"xanthoxin dehydrogenase activity";1;1;0,26;"0.25537";"0.25537"
"GO:0015105";"arsenite transmembrane transporter activ...";1;1;0,26;"0.25537";"0.25537"
"GO:0015109";"chromate transmembrane transporter activ...";1;1;0,26;"0.25537";"0.25537"
"GO:0016162";"cellulose 1,4-beta-cellobiosidase activi...";1;1;0,26;"0.25537";"0.25537"
"GO:0016208";"AMP binding";1;1;0,26;"0.25537";"0.25537"
"GO:0016290";"palmitoyl-CoA hydrolase activity";1;1;0,26;"0.25537";"0.25537"
